det_id,pix_x,pix_y,foc_x,foc_y
221,2000,1128,-6042.520588235294,658.0250882352943
222,1,1,-4035.190441176471,4192.138823529413
222,1,1128,-4044.1436764705877,3065.1402941176475
222,2000,1,-6034.578676470591,4207.549117647059
222,2000,1128,-6043.383676470589,3080.437205882353
223,1,1,-4035.748529411765,6614.7520588235275
223,1,1128,-4040.314852941177,5487.68
223,2000,1,-6035.515588235292,6622.017205882353
223,2000,1128,-6039.821470588236,5494.836617647061
224,1,1,-4037.3580882352944,9044.697941176471
224,1,1128,-4041.913676470588,7917.546617647059
224,2000,1,-6037.558823529414,9051.778823529414
224,2000,1128,-6041.914558823531,7924.479558823531
225,1,1,-4037.4732352941182,11476.401470588233
225,1,1128,-4038.7295588235284,10349.317647058822
225,2000,1,-6038.2360294117625,11477.032352941176
225,2000,1128,-6039.113382352941,10349.76617647059
226,1,1,-4039.4902941176474,13906.494117647058
226,1,1128,-4041.220294117647,12779.430882352946
226,2000,1,-6040.845,13907.819117647061
226,2000,1128,-6042.334852941175,12780.601470588232
231,1,1,-7308.968235294119,1777.773088235294
231,1,1128,-7310.694852941178,650.5211323529411
231,2000,1,-9308.282500000001,1780.643529411764
231,2000,1128,-9309.887941176468,653.15
232,1,1,-7309.050294117644,4202.844558823531
232,1,1128,-7309.671470588234,3075.581029411764
232,2000,1,-9308.53367647059,4203.419411764707
232,2000,1128,-9309.036176470587,3075.892205882352
233,1,1,-7306.173088235295,6620.402647058823
233,1,1128,-7310.033382352942,5493.013970588237
233,2000,1,-9305.929264705881,6626.194705882353
233,2000,1128,-9309.664264705882,5498.629264705882
234,1,1,-7308.023676470585,9046.482941176473
234,1,1128,-7309.271323529413,7919.07
234,2000,1,-9308.234852941177,9046.929264705883
234,2000,1128,-9309.213529411769,7919.348235294115
235,1,1,-7310.3475,11482.397058823524
235,1,1128,-7312.655441176473,10354.964705882356
235,2000,1,-9311.125735294117,11484.09705882353
235,2000,1128,-9313.14838235294,10356.520588235291
241,1,1,-10577.529411764703,1781.765294117647
241,1,1128,-10580.15,654.0911617647059
241,2000,1,-12576.86470588235,1786.366764705882
241,2000,1128,-12579.420588235298,658.4968529411765
242,1,1,-10576.592647058824,4204.768676470588
242,1,1128,-10577.961764705882,3077.0879411764695
242,2000,1,-12576.020588235298,4206.501911764706
242,2000,1128,-12577.308823529413,3078.5660294117647
243,1,1,-10584.111764705884,6633.7232352941155
243,1,1128,-10581.680882352943,5505.903088235295
243,2000,1,-12583.967647058826,6627.971911764708
243,2000,1128,-12581.348529411762,5499.921470588237
244,1,1,-10584.172058823531,9056.966323529414
244,1,1128,-10582.102941176472,7929.227058823529
244,2000,1,-12584.388235294118,9051.049117647057
244,2000,1128,-12582.127941176475,7923.032647058822
311,1,1,-788.6990147058824,-1117.686323529412
311,1,1128,-789.4593676470588,-2244.5655882352944
311,2000,1,-2787.7927941176467,-1116.2747058823531
311,2000,1128,-2788.482647058823,-2243.213382352941
312,1,1,-786.9883088235293,-3542.1602941176484
312,1,1128,-791.6307794117648,-4668.930882352941
312,2000,1,-2786.1651470588254,-3533.7338235294114
312,2000,1128,-2790.8763235294114,-4660.647205882351
313,1,1,-789.1667647058825,-5963.165147058823
313,1,1128,-794.2187205882351,-7089.943970588232
313,2000,1,-2788.538235294118,-5953.595588235292
313,2000,1128,-2793.755735294117,-7080.433529411762
314,1,1,-791.4673529411766,-8385.495588235293
314,1,1128,-792.9047205882353,-9512.481764705884
314,2000,1,-2791.2400000000002,-8382.518823529412
314,2000,1128,-2792.8124999999995,-9509.533382352938
315,1,1,-786.8865735294119,-10812.172058823533
315,1,1128,-786.4148676470589,-11939.132352941173
315,2000,1,-2787.326911764706,-10812.335294117647
315,2000,1128,-2787.1305882352935,-11939.370588235295
316,1,1,-786.9210588235292,-13242.10882352941
316,1,1128,-786.5016176470589,-14369.122058823532
316,2000,1,-2787.9125000000013,-13242.167647058823
316,2000,1128,-2787.799705882354,-14369.155882352945
321,1,1,-4056.394264705883,-1119.6338235294115
321,1,1128,-4056.1024999999977,-2246.5748529411767
321,2000,1,-6055.5363235294135,-1119.894705882353
321,2000,1128,-6055.2764705882355,-2246.9339705882358
322,1,1,-4055.651470588237,-3536.2613235294107
322,1,1128,-4052.993823529411,-4663.209411764705
322,2000,1,-6054.892647058823,-3540.3411764705875
322,2000,1128,-6052.231176470589,-4667.417352941175
323,1,1,-4052.0163235294117,-5972.332794117646
323,1,1128,-4054.71161764706,-7099.291323529413
323,2000,1,-6051.490588235296,-5966.57823529412
323,2000,1128,-6054.313676470591,-7093.623235294115
324,1,1,-4055.590441176469,-8405.260294117648
324,1,1128,-4058.8161764705883,-9532.310441176473
324,2000,1,-6055.370000000002,-8398.451911764705
324,2000,1128,-6058.7922058823515,-9525.598235294121
325,1,1,-4057.292500000001,-10810.270588235298
325,1,1128,-4052.9951470588235,-11937.280882352945
325,2000,1,-6057.403235294118,-10816.835294117647
325,2000,1128,-6053.346176470591,-11943.982352941177
326,1,1,-4062.1495588235293,-13249.925000000003
326,1,1128,-4061.8001470588224,-14376.954411764704
326,2000,1,-6063.027794117648,-13248.904411764704
326,2000,1128,-6063.019411764706,-14376.050000000005
331,1,1,-7325.926323529411,-1109.1319117647058
331,1,1128,-7324.665294117648,-2236.3397058823534
331,2000,1,-9325.118970588239,-1110.8194117647063
331,2000,1128,-9323.832794117649,-2238.148088235294
332,1,1,-7326.901323529411,-3540.3147058823533
332,1,1128,-7327.77205882353,-4667.492352941178
332,2000,1,-9326.181764705887,-3537.8061764705885
332,2000,1128,-9327.052058823525,-4665.234411764705
333,1,1,-7324.023970588236,-5968.28367647059
333,1,1128,-7327.795735294118,-7095.572058823531
333,2000,1,-9323.50205882353,-5960.138382352941
333,2000,1128,-9327.464852941175,-7087.515294117647
334,1,1,-7330.645735294118,-8390.452058823528
334,1,1128,-7329.640882352942,-9517.813235294117
334,2000,1,-9330.500735294117,-8390.349852941174
334,2000,1128,-9329.670441176473,-9517.862352941174
335,1,1,-7337.669264705883,-10827.738235294115
335,1,1128,-7337.8391176470595,-11955.061764705883
335,2000,1,-9338.013970588236,-10825.239705882357
335,2000,1128,-9338.39073529412,-11952.73382352941
341,1,1,-10596.766176470584,-1125.2875000000004
341,1,1128,-10601.01911764706,-2252.84955882353
341,2000,1,-12595.83382352941,-1116.8516176470587
341,2000,1128,-12600.12352941177,-2244.653970588235
342,1,1,-10598.172058823526,-3540.9647058823534
342,1,1128,-10600.730882352937,-4668.53455882353
342,2000,1,-12597.508823529417,-3534.937352941176
342,2000,1128,-12600.108823529414,-4662.807941176471
343,1,1,-10599.754411764701,-5967.464558823531
343,1,1128,-10601.220588235294,-7095.093676470587
343,2000,1,-12599.266176470592,-5963.045735294114
343,2000,1128,-12600.886764705881,-7090.968676470588
344,1,1,-10600.957352941175,-8400.645147058822
344,1,1128,-10602.4294117647,-9528.34544117647
344,2000,1,-12600.807352941172,-8395.491617647056
344,2000,1128,-12602.523529411767,-9523.46426470588
411,1,1,2749.6616176470593,-1135.0017647058821
411,1,1128,2744.0108823529413,-2261.861176470589
411,2000,1,750.6870588235296,-1125.2179411764698
411,2000,1128,745.0604558823528,-2252.0361764705885
412,1,1,2752.3197058823534,-3560.096470588236
412,1,1128,2748.8026470588225,-4687.030882352942
412,2000,1,753.1611029411763,-3554.0463235294114
412,2000,1128,749.6190588235294,-4680.866764705882
413,1,1,2747.126029411764,-5996.543382352941
413,1,1128,2738.22,-7123.342647058825
413,2000,1,747.8097647058823,-5981.00676470588
413,2000,1128,738.8685588235296,-7107.737647058826
414,1,1,2742.086323529412,-8402.223823529412
414,1,1128,2739.8310294117646,-9529.142647058823
414,2000,1,742.4120147058825,-8398.431470588235
414,2000,1128,739.890161764706,-9525.34088235294
415,1,1,2740.7117647058835,-10840.002941176474
415,1,1128,2736.108823529411,-11966.998529411763
415,2000,1,740.4526029411766,-10832.061764705883
415,2000,1128,735.4590588235294,-11959.013235294116
416,1,1,2729.214411764706,-13270.380882352938
416,1,1128,2731.1547058823526,-14397.413235294121
416,2000,1,728.2570147058823,-13274.233823529408
416,2000,1128,729.9159117647059,-14401.200000000004
421,1,1,6018.369264705885,-1143.9677941176465
421,1,1128,6016.270882352941,-2271.085441176471
421,2000,1,4019.3138235294105,-1140.6201470588232
421,2000,1128,4017.2073529411755,-2267.5773529411767
422,1,1,6015.059705882353,-3567.079411764706
422,1,1128,6012.688235294116,-4694.172352941176
422,2000,1,4015.9082352941186,-3563.457352941176
422,2000,1128,4013.493970588234,-4690.4286764705885
423,1,1,6012.138823529409,-5996.42705882353
423,1,1128,6007.096029411766,-7123.514264705884
423,2000,1,4012.7672058823537,-5988.0505882352945
423,2000,1128,4007.551764705882,-7115.006323529412
424,1,1,6011.056865671641,-8415.110895522388
424,1,1128,6004.037313432835,-9542.23626865672
424,2000,1,4011.315820895522,-8403.602089552236
424,2000,1128,4004.1140298507466,-9530.539402985074
425,1,1,6002.982205882354,-10843.413235294112
425,1,1128,6002.123676470589,-11970.592647058822
425,2000,1,4002.703676470588,-10842.88088235294
425,2000,1128,4001.4835294117656,-11969.942647058826
426,1,1,6006.585294117647,-13286.03676470588
426,1,1128,5999.87911764706,-14413.173529411764
426,2000,1,4005.586029411765,-13275.716176470589
426,2000,1128,3998.5173529411763,-14402.726470588233
431,1,1,9283.673235294118,-1134.185147058824
431,1,1128,9287.955588235298,-2261.6245588235297
431,2000,1,7284.770735294119,-1142.3170588235294
431,2000,1128,7288.981911764707,-2269.474558823529
432,1,1,9280.581323529412,-3579.703823529413
432,1,1128,9279.702794117644,-4707.140735294118
432,2000,1,7281.450735294118,-3579.1120588235294
432,2000,1128,7280.465147058825,-4706.249558823528
433,1,1,9288.870000000004,-5994.734264705883
433,1,1128,9288.035294117646,-7122.185735294121
433,2000,1,7289.480882352938,-5994.379705882353
433,2000,1128,7288.538088235294,-7121.673676470587
434,1,1,9283.597647058823,-8427.48455882353
434,1,1128,9274.471323529413,-9554.894705882354
434,2000,1,7283.850441176472,-8412.576029411764
434,2000,1128,7274.472941176469,-9539.815147058822
435,1,1,9278.25808823529,-10844.238235294119
435,1,1128,9279.060147058819,-11971.66470588235
435,2000,1,7277.963823529412,-10847.561764705883
435,2000,1128,7278.544411764707,-11974.838235294117
441,1,1,12556.90735294118,-1155.7725
441,1,1128,12552.076470588243,-2283.6326470588237
441,2000,1,10558.047058823531,-1147.71955882353
441,2000,1128,10553.08823529412,-2275.2820588235295
442,1,1,12552.605882352944,-3578.4580882352943
442,1,1128,12547.93088235294,-4706.355588235293
442,2000,1,10553.505882352938,-3571.1355882352937
442,2000,1128,10548.66764705882,-4698.664558823529
443,1,1,12554.047058823533,-5998.614117647058
443,1,1128,12552.588235294117,-7126.556764705882
443,2000,1,10554.632352941173,-5997.5517647058805
443,2000,1128,10553.051470588238,-7125.226323529414
444,1,1,12556.316176470587,-8428.372500000001
444,1,1128,12556.01470588236,-9556.332647058818
444,2000,1,10556.574999999999,-8430.007205882353
444,2000,1128,10556.064705882352,-9557.59411764706
